Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.800000,2.853333,2.733333,2.733333,1.301077,514800
2000-01-04,2.733333,2.740000,2.603333,2.603333,1.239197,314100
2000-01-05,2.600000,2.633333,2.506666,2.630000,1.251890,478800
2000-01-06,2.630000,2.666666,2.600000,2.666666,1.269343,205200
2000-01-07,2.666666,2.666666,2.606666,2.606666,1.240783,394200
2000-01-10,2.730000,2.753333,2.666666,2.750000,1.309011,549000
2000-01-11,2.766666,2.853333,2.676666,2.713333,1.291557,642600
2000-01-12,2.733333,2.766666,2.683333,2.750000,1.309011,584100
2000-01-13,2.800000,2.833333,2.703333,2.703333,1.286797,551700
2000-01-14,2.733333,2.766666,2.700000,2.700000,1.285211,248400
2000-01-17,2.666666,2.733333,2.640000,2.720000,1.294731,149400
2000-01-18,2.666666,2.813333,2.666666,2.793333,1.329638,306000
2000-01-19,2.796666,2.826666,2.733333,2.763333,1.315357,105300
2000-01-20,2.720000,2.806666,2.720000,2.746666,1.307423,344700
2000-01-21,2.733333,2.800000,2.706666,2.770000,1.318531,158400
2000-01-24,2.700000,2.833333,2.700000,2.703333,1.286797,897300
2000-01-25,null,null,null,null,null,null
2000-01-26,2.703333,2.783333,2.703333,2.766666,1.316943,146700
2000-01-27,2.833333,2.833333,2.703333,2.706666,1.288383,202500
2000-01-28,2.800000,2.800000,2.623333,2.636666,1.255063,535500
2000-01-31,2.650000,2.650000,2.600000,2.633333,1.253477,286200
2000-02-01,2.640000,2.640000,2.606666,2.633333,1.253477,277200
2000-02-02,2.633333,2.633333,2.600000,2.606666,1.240783,76500
2000-02-03,2.666666,2.666666,2.606666,2.633333,1.253477,138600
2000-02-04,2.666666,2.716666,2.620000,2.666666,1.269343,254700
2000-02-07,2.670000,2.670000,2.616666,2.623333,1.248716,321300
2000-02-08,2.666666,2.700000,2.636666,2.683333,1.277277,1360800
2000-02-09,2.666666,2.740000,2.666666,2.683333,1.277277,178200
2000-02-10,2.666666,2.666666,2.616666,2.646666,1.259823,907200
2000-02-11,2.646666,2.666666,2.630000,2.633333,1.253477,545400
2000-02-14,2.630000,2.630000,2.526666,2.606666,1.240783,298800
2000-02-15,2.563333,2.563333,2.436666,2.490000,1.185249,390600
2000-02-16,2.490000,2.633333,2.433333,2.546666,1.212222,1227600
2000-02-17,2.500000,2.533333,2.486666,2.496666,1.188422,754200
2000-02-18,2.496666,2.616666,2.483333,2.500000,1.190010,252000
2000-02-21,2.516666,2.766666,2.483333,2.606666,1.240783,937800
2000-02-22,2.700000,2.700000,2.566666,2.570000,1.223330,197100
2000-02-23,2.570000,2.663333,2.540000,2.630000,1.251890,451800
2000-02-24,2.630000,2.733333,2.500000,2.500000,1.190010,598500
2000-02-25,2.500000,2.630000,2.486666,2.516666,1.197943,759600
2000-02-28,2.550000,2.600000,2.486666,2.550000,1.213809,90900
2000-02-29,2.500000,2.503333,2.460000,2.483333,1.182076,1028700
2000-03-01,2.500000,2.500000,2.446666,2.450000,1.166209,879300
2000-03-02,2.533333,2.600000,2.440000,2.450000,1.166209,567900
2000-03-03,2.446666,2.500000,2.446666,2.466666,1.174143,732600
2000-03-06,null,null,null,null,null,null
2000-03-07,null,null,null,null,null,null
2000-03-08,2.533333,2.566666,2.400000,2.566666,1.221743,564300
2000-03-09,2.466666,2.466666,2.416666,2.466666,1.174143,791100
2000-03-10,2.500000,2.563333,2.476666,2.546666,1.212222,81000
2000-03-13,null,null,null,null,null,null
2000-03-14,2.450000,2.450000,2.346666,2.346666,1.117022,711900
2000-03-15,2.433333,2.433333,2.240000,2.316666,1.102742,1014300
2000-03-16,2.393333,2.393333,2.266666,2.333333,1.110675,672300
2000-03-17,2.333333,2.333333,2.266666,2.266666,1.078942,352800
2000-03-20,2.246666,2.246666,2.100000,2.163333,1.029755,305100
2000-03-21,2.166666,2.233333,2.066666,2.150000,1.023408,1593000
2000-03-22,2.163333,2.233333,2.163333,2.166666,1.031342,3384000
2000-03-23,2.183333,2.263333,2.150000,2.150000,1.023408,293400
2000-03-24,2.166666,2.230000,2.166666,2.180000,1.037688,273600
2000-03-27,2.200000,2.200000,2.076666,2.133333,1.015475,333900
2000-03-28,2.163333,2.163333,2.073333,2.073333,0.986914,323100
2000-03-29,2.083333,2.113333,2.066666,2.100000,0.999608,480600
2000-03-30,2.083333,2.113333,2.083333,2.086666,0.993261,273600
2000-03-31,2.110000,2.113333,2.086666,2.096666,0.998021,748800
2000-04-03,2.096666,2.096666,2.016666,2.023333,0.963114,777600
2000-04-04,2.033333,2.040000,1.983333,2.040000,0.971048,1247400
2000-04-05,2.050000,2.096666,1.973333,2.000000,0.952007,502200
2000-04-06,2.016666,2.016666,1.936666,1.966666,0.936140,369000
2000-04-07,1.966666,2.000000,1.916666,1.963333,0.934554,890100
2000-04-10,1.963333,1.993333,1.890000,1.900000,0.904407,495900
2000-04-11,1.983333,1.983333,1.866666,1.886666,0.898060,755100
2000-04-12,1.966666,2.000000,1.866666,1.926666,0.917100,846000
2000-04-13,1.926666,1.983333,1.866666,1.896666,0.902820,302400
2000-04-14,1.866666,1.900000,1.800000,1.833333,0.872674,595800
2000-04-17,1.876666,1.883333,1.770000,1.883333,0.896473,405900
2000-04-18,1.900000,2.000000,1.836666,1.933333,0.920274,767700
2000-04-19,1.983333,1.996666,1.836666,1.843333,0.877434,309600
2000-04-20,1.900000,1.900000,1.850000,1.866666,0.888540,258300
2000-04-21,null,null,null,null,null,null
2000-04-24,1.880000,1.930000,1.866666,1.866666,0.888540,328500
2000-04-25,1.933333,1.966666,1.870000,1.873333,0.891714,279900
2000-04-26,1.916666,1.916666,1.846666,1.900000,0.904407,439200
2000-04-27,1.833333,1.916666,1.833333,1.900000,0.904407,1332900
2000-04-28,1.946666,2.046666,1.883333,2.000000,0.952007,460800
2000-05-01,null,null,null,null,null,null
2000-05-02,2.096666,2.130000,2.000000,2.063333,0.982154,914400
2000-05-03,2.033333,2.100000,1.983333,2.050000,0.975808,220500
2000-05-04,2.083333,2.083333,2.000000,2.016666,0.959940,137700
2000-05-05,2.000000,2.000000,1.973333,1.980000,0.942487,211500
2000-05-08,2.000000,2.000000,1.950000,1.953333,0.929794,243900
2000-05-09,1.936666,2.000000,1.933333,1.950000,0.928208,243000
2000-05-10,1.950000,1.956666,1.906666,1.913333,0.910754,350100
2000-05-11,1.996666,1.996666,1.906666,1.933333,0.920274,369000
2000-05-12,1.966666,1.966666,1.866666,1.950000,0.928208,401400
2000-05-15,1.963333,1.996666,1.883333,1.986666,0.945660,132300
2000-05-16,1.980000,2.033333,1.966666,1.986666,0.945660,414000
2000-05-17,1.966666,2.030000,1.960000,2.016666,0.959940,280800
2000-05-18,1.983333,2.033333,1.936666,1.956666,0.931380,134100
2000-05-19,1.966666,1.996666,1.936666,1.996666,0.950420,93600
2000-05-22,1.966666,1.966666,1.900000,1.953333,0.929794,1172700
2000-05-23,1.996666,1.996666,1.870000,1.870000,0.890127,234900
2000-05-24,1.866666,1.933333,1.840000,1.930000,0.918687,202500
2000-05-25,1.996666,1.996666,1.866666,1.866666,0.888540,283500
2000-05-26,1.913333,1.960000,1.913333,1.940000,0.923447,69300
2000-05-29,1.966666,1.966666,1.873333,1.926666,0.917100,399600
2000-05-30,1.983333,1.983333,1.883333,1.960000,0.932967,335700
2000-05-31,1.933333,1.980000,1.800000,1.866666,0.888540,382500
2000-06-01,1.883333,1.910000,1.873333,1.910000,0.909167,304200
2000-06-02,1.966666,1.970000,1.933333,1.966666,0.936140,452700
2000-06-05,1.950000,1.993333,1.916666,1.916666,0.912340,418500
2000-06-06,null,null,null,null,null,null
2000-06-07,1.903333,1.980000,1.903333,1.980000,0.942487,254700
2000-06-08,1.993333,2.000000,1.933333,1.950000,0.928208,332100
2000-06-09,1.950000,1.960000,1.933333,1.960000,0.932967,43200
2000-06-12,1.933333,1.966666,1.900000,1.933333,0.920274,459000
2000-06-13,1.960000,1.980000,1.916666,1.963333,0.934554,302400
2000-06-14,1.963333,1.963333,1.883333,1.906666,0.907580,866700
2000-06-15,1.960000,2.016666,1.903333,1.996666,0.950420,1130400
2000-06-16,2.016666,2.096666,1.983333,2.006666,0.955181,757800
2000-06-19,2.066666,2.066666,1.966666,2.066666,0.983741,586800
2000-06-20,2.100000,2.120000,2.033333,2.116666,1.007541,648900
2000-06-21,2.100000,2.293333,2.100000,2.266666,1.078942,617400
2000-06-22,null,null,null,null,null,null
2000-06-23,2.263333,2.263333,2.166666,2.233333,1.063075,281700
2000-06-26,2.183333,2.196666,2.133333,2.150000,1.023408,914400
2000-06-27,2.123333,2.200000,2.123333,2.183333,1.039275,641700
2000-06-28,2.226666,2.233333,2.146666,2.146666,1.021821,350100
2000-06-29,2.166666,2.193333,2.120000,2.156666,1.026581,186300
2000-06-30,2.133333,2.166666,2.103333,2.150000,1.023408,251100
2000-07-03,2.150000,2.233333,2.133333,2.166666,1.031342,149400
2000-07-04,2.166666,2.226666,2.103333,2.133333,1.015475,369900
2000-07-05,2.160000,2.193333,2.133333,2.163333,1.029755,229500
2000-07-06,2.203333,2.240000,2.156666,2.233333,1.063075,729000
2000-07-07,2.250000,2.283333,2.233333,2.233333,1.063075,479700
2000-07-10,2.266666,2.313333,2.246666,2.250000,1.071009,623700
2000-07-11,2.200000,2.226666,2.106666,2.180000,1.037688,422100
2000-07-12,2.213333,2.213333,2.120000,2.160000,1.028168,306900
2000-07-13,2.140000,2.193333,2.100000,2.103333,1.001195,137700
2000-07-14,2.086666,2.143333,2.083333,2.123333,1.010714,490500
2000-07-17,2.090000,2.176666,2.083333,2.163333,1.029755,119700
2000-07-18,2.183333,2.200000,2.033333,2.033333,0.967874,163800
2000-07-19,2.100000,2.113333,2.043333,2.060000,0.980568,279000
2000-07-20,2.083333,2.133333,2.066666,2.133333,1.015475,117000
2000-07-21,2.130000,2.143333,2.116666,2.133333,1.015475,236700
2000-07-24,2.113333,2.163333,2.100000,2.126666,1.012301,171000
2000-07-25,2.106666,2.116666,2.066666,2.070000,0.985328,148500
2000-07-26,2.073333,2.136666,2.066666,2.116666,1.007541,274500
2000-07-27,2.100000,2.126666,2.076666,2.123333,1.010714,263700
2000-07-28,2.130000,2.130000,2.066666,2.083333,0.991674,113400
2000-07-31,2.100000,2.100000,2.060000,2.083333,0.991674,57600
2000-08-01,2.056666,2.116666,2.050000,2.066666,0.983741,113400
2000-08-02,2.066666,2.106666,2.003333,2.056666,0.978981,456300
2000-08-03,2.016666,2.133333,2.006666,2.123333,1.010714,334800
2000-08-04,2.156666,2.160000,2.053333,2.070000,0.985328,42300
2000-08-07,2.133333,2.133333,2.070000,2.106666,1.002781,189900
2000-08-08,2.113333,2.153333,2.100000,2.136666,1.017061,1077300
2000-08-09,2.150000,2.150000,2.060000,2.130000,1.013888,666000
2000-08-10,2.100000,2.136666,2.073333,2.093333,0.996434,234900
2000-08-11,2.070000,2.133333,2.070000,2.133333,1.015475,358200
2000-08-14,2.100000,2.180000,2.066666,2.146666,1.021821,608400
2000-08-15,2.133333,2.166666,2.116666,2.120000,1.009128,416700
2000-08-16,2.050000,2.133333,2.016666,2.036666,0.969461,1466100
2000-08-17,2.100000,2.160000,2.066666,2.123333,1.010714,944100
2000-08-18,2.123333,2.126666,2.076666,2.076666,0.988500,151200
2000-08-21,2.066666,2.076666,2.043333,2.073333,0.986914,202500
2000-08-22,2.066666,2.160000,2.066666,2.083333,0.991674,402300
2000-08-23,2.083333,2.133333,2.063333,2.100000,0.999608,304200
2000-08-24,2.070000,2.096666,2.066666,2.096666,0.998021,78300
2000-08-25,2.116666,2.163333,2.083333,2.133333,1.015475,803700
2000-08-28,2.106666,2.150000,2.106666,2.133333,1.015475,780300
2000-08-29,2.103333,2.130000,2.083333,2.130000,1.013888,369900
2000-08-30,2.126666,2.126666,2.053333,2.066666,0.983741,577800
2000-08-31,2.073333,2.096666,2.036666,2.053333,0.977394,577800
2000-09-01,2.066666,2.156666,2.066666,2.150000,1.023408,947700
2000-09-04,2.150000,2.200000,2.150000,2.180000,1.037688,848700
2000-09-05,2.180000,2.180000,2.133333,2.146666,1.021821,502200
2000-09-06,2.133333,2.190000,2.113333,2.156666,1.026581,292500
2000-09-07,null,null,null,null,null,null
2000-09-08,2.193333,2.193333,2.150000,2.156666,1.026581,277200
2000-09-11,2.156666,2.166666,2.106666,2.133333,1.015475,229500
2000-09-12,2.133333,2.150000,2.100000,2.100000,0.999608,226800
2000-09-13,2.070000,2.196666,2.070000,2.190000,1.042449,378000
2000-09-14,2.166666,2.173333,2.110000,2.116666,1.007541,161100
2000-09-15,2.066666,2.110000,2.066666,2.100000,0.999608,123300
2000-09-18,2.100000,2.110000,2.053333,2.070000,0.985328,143100
2000-09-19,2.100000,2.133333,2.066666,2.133333,1.015475,184500
2000-09-20,2.083333,2.130000,2.060000,2.116666,1.007541,498600
2000-09-21,2.100000,2.166666,2.086666,2.150000,1.023408,660600
2000-09-22,2.133333,2.216666,2.116666,2.216666,1.055141,328500
2000-09-25,2.223333,2.260000,2.200000,2.236666,1.064661,708300
2000-09-26,2.233333,2.316666,2.133333,2.133333,1.015475,504000
2000-09-27,2.150000,2.196666,2.036666,2.100000,0.999608,440100
2000-09-28,2.113333,2.150000,2.066666,2.110000,1.004368,118800
2000-09-29,2.110000,2.110000,2.070000,2.083333,0.991674,241200
2000-10-02,2.086666,2.116666,2.050000,2.116666,1.007541,209700
2000-10-03,2.116666,2.133333,2.050000,2.130000,1.013888,225900
2000-10-04,2.130000,2.150000,2.033333,2.150000,1.023408,216000
2000-10-05,null,null,null,null,null,null
2000-10-06,2.150000,2.150000,2.050000,2.060000,0.980568,738000
2000-10-09,2.066666,2.100000,2.033333,2.096666,0.998021,289800
2000-10-10,2.100000,2.100000,2.050000,2.050000,0.975808,85500
2000-10-11,2.050000,2.130000,2.036666,2.046666,0.974221,198900
2000-10-12,null,null,null,null,null,null
2000-10-13,2.033333,2.116666,2.033333,2.100000,0.999608,172800
2000-10-16,2.073333,2.163333,2.070000,2.093333,0.996434,298800
2000-10-17,2.083333,2.100000,2.053333,2.060000,0.980568,334800
2000-10-18,2.006666,2.033333,1.816666,1.933333,0.920274,1526400
2000-10-19,1.983333,2.000000,1.936666,2.000000,0.952007,345600
2000-10-20,1.933333,1.983333,1.906666,1.933333,0.920274,272700
2000-10-23,1.910000,1.966666,1.803333,1.833333,0.872674,396000
2000-10-24,null,null,null,null,null,null
2000-10-25,1.833333,2.000000,1.803333,1.833333,0.872674,392400
2000-10-26,1.833333,1.900000,1.833333,1.900000,0.904407,277200
2000-10-27,1.996666,1.996666,1.923333,1.976666,0.940900,276300
2000-10-30,1.923333,2.000000,1.836666,2.000000,0.952007,96300
2000-10-31,2.020000,2.083333,1.946666,1.946666,0.926620,138600
2000-11-01,1.950000,2.000000,1.916666,2.000000,0.952007,52200
2000-11-02,null,null,null,null,null,null
2000-11-03,2.003333,2.046666,1.900000,2.000000,0.952007,282600
2000-11-06,1.993333,2.083333,1.950000,2.006666,0.955181,365400
2000-11-07,1.950000,2.016666,1.936666,1.953333,0.929794,113400
2000-11-08,2.016666,2.016666,1.936666,1.983333,0.944074,117900
2000-11-09,1.933333,2.083333,1.933333,2.036666,0.969461,131400
2000-11-10,2.036666,2.050000,2.000000,2.030000,0.966288,95400
2000-11-13,1.950000,2.130000,1.950000,2.076666,0.988500,522900
2000-11-14,null,null,null,null,null,null
2000-11-15,null,null,null,null,null,null
2000-11-16,2.033333,2.163333,2.033333,2.060000,0.980568,120600
2000-11-17,2.050000,2.050000,1.900000,2.013333,0.958354,268200
2000-11-20,1.970000,2.076666,1.953333,2.063333,0.982154,136800
2000-11-21,2.063333,2.066666,2.000000,2.033333,0.967874,234900
