logstash /usr/share/logstash/pipeline/stocks.confDate,Open,High,Low,Close,Adj Close,Volume
2021-04-01,30.770000,30.799999,29.900000,29.950001,29.950001,13052600
2021-04-05,30.160000,30.350000,29.620001,29.910000,29.910000,12635500
2021-04-06,29.980000,30.100000,29.450001,29.549999,29.549999,14016800
2021-04-07,29.520000,29.940001,29.240000,29.360001,29.360001,19772700
2021-04-08,29.520000,29.590000,29.000000,29.110001,29.110001,18141200
2021-04-09,29.110001,29.680000,29.080000,29.190001,29.190001,21380900
2021-04-12,29.450001,29.549999,29.230000,29.549999,29.549999,9720900
2021-04-13,29.440001,29.680000,29.129999,29.549999,29.549999,13289400
2021-04-14,29.620001,29.860001,29.309999,29.600000,29.600000,19795800
2021-04-15,29.629999,30.070000,29.350000,29.639999,29.639999,18247900
2021-04-16,29.590000,29.850000,29.500000,29.770000,29.770000,12978300
2021-04-19,29.799999,30.190001,29.570000,29.620001,29.620001,21502100
2021-04-20,29.629999,30.459999,29.629999,30.100000,30.100000,23616900
2021-04-22,30.410000,30.420000,29.650000,29.830000,29.830000,17866100
2021-04-23,29.910000,30.290001,29.830000,30.070000,30.070000,14247700
2021-04-26,30.150000,30.549999,29.879999,30.100000,30.100000,9847700
2021-04-27,30.059999,30.100000,29.660000,29.770000,29.770000,12904800
2021-04-28,29.990000,30.370001,29.850000,30.299999,30.299999,15213600
2021-04-29,30.299999,30.520000,29.570000,29.639999,29.639999,14692400
2021-04-30,29.670000,29.850000,29.440001,29.639999,29.639999,12656100
2021-05-03,29.820000,30.030001,29.549999,29.750000,29.750000,10099500
2021-05-04,29.900000,29.969999,29.190001,29.370001,29.370001,12237700
2021-05-05,29.580000,29.580000,28.809999,29.260000,29.260000,16210900
2021-05-06,29.230000,29.430000,28.950001,29.209999,29.209999,15660500
2021-05-07,30.000000,30.480000,29.760000,29.940001,29.940001,26800800
2021-05-10,30.040001,30.559999,29.900000,30.330000,30.330000,14576400
2021-05-11,30.100000,30.549999,30.030001,30.549999,30.549999,11218800
2021-05-12,30.350000,30.830000,30.180000,30.350000,30.350000,13799900
2021-05-13,30.500000,31.350000,30.400000,31.160000,31.160000,22033900
2021-05-14,31.600000,31.730000,30.959999,31.160000,31.160000,12084500
